date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:48:25	4806/4806	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/html	date:Tue,%2010%20Sep%202013%2002:28:13%20GMT	http://absolvewinelounge.com/robots.txt		(from )
12:48:25	7071/7071	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Oct%202014%2017:48:27%20GMT	http://absolvewinelounge.com/	absolvewinelounge.com/index.html	(from )
12:48:26	11563/11563	---MCZ	200	added ('OK')	text/css	date:Fri,%2011%20Apr%202014%2015:39:52%20GMT	http://absolvewinelounge.com/css/style.css	absolvewinelounge.com/css/style.css	(from http://absolvewinelounge.com/)
12:48:26	1383/1383	---MCZ	200	added ('OK')	text/css	date:Fri,%2011%20Apr%202014%2016:11:26%20GMT	http://absolvewinelounge.com/css/nav-top.css	absolvewinelounge.com/css/nav-top.css	(from http://absolvewinelounge.com/)
12:48:26	2964/2964	---MCZ	200	added ('OK')	text/css	date:Thu,%2019%20Sep%202013%2023:15:56%20GMT	http://absolvewinelounge.com/css/js-image-slider.css	absolvewinelounge.com/css/js-image-slider.css	(from http://absolvewinelounge.com/)
12:48:26	15256/15256	---M--	200	added ('OK')	application/javascript	date:Sun,%2003%20Nov%202013%2005:08:16%20GMT	http://absolvewinelounge.com/js/js-image-slider.js	absolvewinelounge.com/js/js-image-slider.js	(from http://absolvewinelounge.com/)
12:48:26	779/779	---M--	200	added ('OK')	application/javascript	date:Fri,%2010%20May%202013%2021:49:24%20GMT	http://absolvewinelounge.com/js/ie-hover-code.js	absolvewinelounge.com/js/ie-hover-code.js	(from http://absolvewinelounge.com/)
12:48:28	2654/2654	---M--	200	added ('OK')	application/javascript	date:Fri,%2010%20May%202013%2021:49:24%20GMT	http://absolvewinelounge.com/js/scriptaculous.js?load=effects,builder	absolvewinelounge.com/js/scriptaculousb395.js	(from http://absolvewinelounge.com/)
12:48:28	11406/11406	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20Feb%202014%2021:53:06%20GMT	http://absolvewinelounge.com/images/flourish0.jpg	absolvewinelounge.com/images/flourish0.jpg	(from http://absolvewinelounge.com/)
12:48:28	2242/2242	---M--	200	added ('OK')	application/javascript	date:Fri,%2023%20Aug%202013%2002:06:20%20GMT	http://absolvewinelounge.com/js/mobile.js	absolvewinelounge.com/js/mobile.js	(from http://absolvewinelounge.com/)
12:48:29	7071/7071	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Oct%202014%2017:48:30%20GMT	http://absolvewinelounge.com/index.php	absolvewinelounge.com/index-2.html	(from http://absolvewinelounge.com/)
